Distance (um),Average Content of C (wt. %),Average Content of N (wt. %)
0,0.5,2.0080905
0.8,0.502269486,2.130145833
1.6,0.504537522,1.698388567
2.4,0.506802659,1.825074667
3.2,0.509063453,1.7171617
4,0.51131846,1.8015881
4.8,0.513566246,1.867266167
5.6,0.51580538,1.9376866
6.4,0.518034442,1.698365833
7.2,0.52025202,1.825089133
8,0.522456712,1.7781098
8.8,0.52464713,1.857937467
9.6,0.5268219,1.989295667
10.4,0.52897966,1.928299
11.2,0.531119066,1.965854567
12,0.533238791,1.970578333
12.8,0.535337526,1.7922284
13.6,0.537413983,2.0644037
14.4,0.539466895,1.9517556
15.2,0.541495015,1.69834
16,0.543497121,1.825076733
16.8,0.545472017,1.886126117
17.6,0.547418531,1.937694867
18.4,0.549335516,1.6889586
19.2,0.551221858,1.933006233
20,0.553076466,1.9095362
20.8,0.554898283,1.8297664
21.6,0.556686281,1.787507733
22.4,0.558439466,1.9471021
23.2,0.560156874,1.820376733
24,0.561837577,1.8485509
24.8,0.563480681,1.956476267
25.6,0.565085327,1.8626292
26.4,0.566650693,1.998701867
27.2,0.568175994,1.8813765
28,0.569660482,1.825092233
28.8,0.571103448,1.8766982
29.6,0.572504223,1.8204067
30.4,0.573862177,1.6467485
31.2,0.575176721,1.8673168
32,0.576447305,1.825105667
32.8,0.577673423,2.0503223
33.6,0.57885461,1.942413467
34.4,0.579990444,1.7312276
35.2,0.581080544,1.768769733
36,0.582124574,1.9048486
36.8,0.583122241,1.792201533
37.6,0.584073295,2.158262133
38.4,0.584977532,2.0221843
39.2,0.585834789,2.017470867
40,0.586644951,1.918897967
40.8,0.587407944,2.050329533
41.6,0.588123742,2.097295433
42.4,0.58879236,1.970537
43.2,0.58941386,1.8532416
44,0.589988347,1.6936865
44.8,0.590515972,1.754691433
45.6,0.590996929,1.965839067
46.4,0.591431457,1.778135633
47.2,0.591819837,1.778147
48,0.592162396,1.857914733
48.8,0.592459502,1.8860827
49.6,0.592711567,1.834476733
50.4,0.592919046,1.787529433
51.2,0.593082436,1.646734033
52,0.593202273,1.721829667
52.8,0.593279139,1.8813827
53.6,0.593313652,1.9705773
54.4,0.593306472,1.796911867
55.2,0.593258298,1.979931833
56,0.593169869,2.031607033
56.8,0.59304196,1.595134267
