time,Distance (um),Distance to position,Average Content of C (wt. %),Average Content of N (wt. %),Theoretical value of cementite,Actual value of cementite
65.3,0.001,290.0,0.5,2.008,0.088140181,0.001
65.3,0.8,289.2,0.502,2.13,0.090013034,0.001
65.3,1.6,288.4,0.505,1.698,0.053733867,0.001
65.3,2.4,287.6,0.507,1.825,0.072931737,0.001
65.3,3.2,286.8,0.509,1.717,0.057310409,0.001
65.3,4.0,286.0,0.511,1.802,0.070284091,0.001
65.3,4.8,285.2,0.514,1.867,0.080299419,0.001
65.3,5.6,284.4,0.516,1.938,0.088917567,0.001
65.3,6.4,283.6,0.518,1.698,0.056035757,0.001
65.3,7.2,282.8,0.52,1.825,0.075233628,0.001
65.3,8.0,282.0,0.522,1.778,0.068729035,0.001
65.3,8.8,281.2,0.525,1.858,0.080931537,0.001
65.3,9.6,280.4,0.527,1.989,0.09229315,0.001
65.3,10.4,279.6,0.529,1.928,0.090885212,0.001
65.3,11.2,278.8,0.531,1.966,0.092324933,0.001
65.3,12.0,278.0,0.533,1.971,0.092815434,0.001
65.3,12.8,277.2,0.535,1.792,0.073067293,0.001
65.3,13.6,276.4,0.537,2.064,0.096248427,0.001
65.3,14.4,275.6,0.539,1.952,0.093308954,0.001
65.3,15.2,274.8,0.541,1.698,0.060098047,0.001
65.3,16.0,274.0,0.543,1.825,0.079294938,0.001
65.3,16.8,273.2,0.545,1.886,0.088495142,0.001
65.3,17.6,272.4,0.547,1.938,0.094292975,0.001
65.3,18.4,271.6,0.549,1.689,0.060164297,0.001
65.3,19.2,270.8,0.551,1.933,0.094842514,0.001
65.3,20.0,270.0,0.553,1.91,0.09336426,0.001
65.3,20.8,269.2,0.555,1.83,0.082102947,0.001
65.3,21.6,268.4,0.557,1.788,0.076355431,0.001
65.3,22.4,267.6,0.558,1.947,0.096482183,0.001
65.3,23.2,266.8,0.56,1.82,0.081518649,0.001
65.3,24.0,266.0,0.562,1.849,0.086072478,0.001
65.3,24.8,265.2,0.563,1.956,0.097627744,0.001
65.3,25.6,264.4,0.565,1.863,0.088622774,0.001
65.3,26.4,263.6,0.567,1.999,0.099609854,0.001
65.3,27.2,262.8,0.568,1.881,0.091753469,0.001
65.3,28.0,262.0,0.57,1.825,0.083973806,0.001
65.3,28.8,261.2,0.571,1.877,0.091691967,0.001
65.3,29.6,260.4,0.573,1.82,0.083767203,0.001
65.3,30.4,259.6,0.574,1.647,0.058298107,0.001
65.3,31.2,258.8,0.575,1.867,0.090932831,0.001
65.3,32.0,258.0,0.576,1.825,0.0850116,0.001
65.3,32.8,257.2,0.578,2.05,0.103093724,0.001
65.3,33.6,256.4,0.579,1.942,0.099975115,0.001
65.3,34.4,255.6,0.58,1.731,0.071983993,0.001
65.3,35.2,254.8,0.581,1.769,0.077809432,0.001
65.3,36.0,254.0,0.582,1.905,0.097657387,0.001
65.3,36.8,253.2,0.583,1.792,0.081480942,0.001
65.3,37.6,252.4,0.584,2.158,0.104353148,0.001
65.3,38.4,251.6,0.585,2.022,0.103464323,0.001
65.3,39.2,250.8,0.586,2.017,0.103486047,0.001
65.3,40.0,250.0,0.587,1.919,0.100553615,0.001
65.3,40.8,249.2,0.587,2.05,0.10469409,0.001
65.3,41.6,248.4,0.588,2.097,0.105646882,0.001
65.3,42.4,247.6,0.589,1.971,0.102583432,0.001
65.3,43.2,246.8,0.589,1.853,0.091340922,0.001
65.3,44.0,246.0,0.59,1.694,0.068194291,0.001
65.3,44.8,245.2,0.591,1.755,0.077521391,0.001
65.3,45.6,244.4,0.591,1.966,0.102782974,0.001
65.3,46.4,243.6,0.591,1.778,0.080869209,0.001
65.3,47.2,242.8,0.592,1.778,0.0810453,0.001
65.3,48.0,242.0,0.592,1.858,0.092590788,0.001
65.3,48.8,241.2,0.592,1.886,0.096631709,0.001
65.3,49.6,240.4,0.593,1.834,0.089303233,0.001
65.3,50.4,239.6,0.593,1.788,0.082664577,0.001
65.3,51.2,238.8,0.593,1.647,0.061671786,0.001
65.3,52.0,238.0,0.593,1.722,0.072923027,0.001
65.3,52.8,237.2,0.593,1.881,0.096086207,0.001
65.3,53.6,236.4,0.593,1.971,0.103294706,0.001
65.3,54.4,235.6,0.593,1.797,0.083963444,0.001
65.3,55.2,234.8,0.593,1.98,0.103575676,0.001
65.3,56.0,234.0,0.593,2.032,0.105199061,0.001
65.3,56.8,233.2,0.593,1.595,0.05385441,0.001
65.3,57.6,232.4,0.593,1.797,0.083963444,0.001
65.3,58.4,231.6,0.593,1.895,0.098109012,0.001
65.3,59.2,230.8,0.592,1.553,0.047359981,0.001
65.3,60.0,230.0,0.592,1.675,0.065696158,0.001
65.3,60.8,229.2,0.592,1.764,0.079024839,0.001
65.3,61.6,228.4,0.591,1.717,0.071820762,0.001
65.3,62.4,227.6,0.591,1.863,0.09313629,0.001
65.3,63.2,226.8,0.591,1.764,0.078848748,0.001
65.3,64.0,226.0,0.59,1.961,0.102449061,0.001
65.3,64.8,225.2,0.59,1.619,0.056932752,0.001
65.3,65.6,224.4,0.589,1.858,0.092062515,0.001
65.3,66.4,223.6,0.589,1.811,0.085279541,0.001
65.3,67.2,222.8,0.588,1.637,0.059285771,0.001
65.3,68.0,222.0,0.588,1.83,0.087845503,0.001
65.3,68.8,221.2,0.587,1.684,0.066165852,0.001
65.3,69.6,220.4,0.586,1.698,0.068089993,0.001
65.3,70.4,219.6,0.586,1.745,0.075140771,0.001
65.3,71.2,218.8,0.585,1.656,0.061611246,0.001
65.3,72.0,218.0,0.584,1.689,0.066387662,0.001
65.3,72.8,217.2,0.584,1.82,0.085697954,0.001
65.3,73.6,216.4,0.583,1.689,0.066211571,0.001
65.3,74.4,215.6,0.582,1.614,0.054755798,0.001
65.3,75.2,214.8,0.581,1.849,0.089358827,0.001
65.3,76.0,214.0,0.581,1.867,0.091970625,0.001
65.3,76.8,213.2,0.58,1.952,0.100448138,0.014648438
65.3,77.6,212.4,0.579,1.919,0.099169889,0.019042969
65.3,78.4,211.6,0.578,1.778,0.078580026,0.017089844
65.3,79.2,210.8,0.578,1.698,0.066681265,0.011946615
65.3,80.0,210.0,0.577,1.525,0.040465421,0.01184082
65.3,80.8,209.2,0.576,1.966,0.100176356,0.008972168
65.3,81.6,208.4,0.575,1.745,0.07320377,0.012207031
65.3,82.4,207.6,0.574,1.731,0.070927448,0.007324219
65.3,83.2,206.8,0.574,2.088,0.103242973,0.008789063
65.3,84.0,206.0,0.573,1.783,0.078421164,0.010742188
65.3,84.8,205.2,0.572,1.642,0.057189467,0.009643555
65.3,85.6,204.4,0.571,1.637,0.05625888,0.012369792
65.3,86.4,203.6,0.57,1.844,0.086730704,0.011274858
65.3,87.2,202.8,0.57,1.806,0.081216907,0.010316791
65.3,88.0,202.0,0.569,1.534,0.040396164,0.013579926
65.3,88.8,201.2,0.568,1.867,0.08972207,0.012083798
65.3,89.6,200.4,0.567,1.764,0.074622565,0.01118571
65.3,90.4,199.6,0.567,1.703,0.065480127,0.009309896
65.3,91.2,198.8,0.566,1.694,0.063947512,0.008117676
65.3,92.0,198.0,0.565,1.792,0.07832068,0.007507324
65.3,92.8,197.2,0.565,1.788,0.07774028,0.017732319
65.3,93.6,196.4,0.564,1.769,0.074815885,0.006116365
65.3,94.4,195.6,0.563,1.975,0.098197853,0.008214614
65.3,95.2,194.8,0.563,1.731,0.068982111,0.008106754
65.3,96.0,194.0,0.562,1.975,0.098024887,0.010331003
65.3,96.8,193.2,0.562,1.745,0.070911155,0.010275136
65.3,97.6,192.4,0.561,1.825,0.082417114,0.007531368
65.3,98.4,191.6,0.56,1.407,0.019656517,0.01208044
65.3,99.2,190.8,0.56,1.727,0.067845926,0.015625
65.3,100.0,190.0,0.56,1.623,0.052193207,0.016197468
65.3,100.8,189.2,0.559,1.572,0.044337091,0.010427167
65.3,101.6,188.4,0.559,1.792,0.077282511,0.014583333
65.3,102.4,187.6,0.558,1.849,0.085379866,0.013580322
65.3,103.2,186.8,0.558,1.773,0.074352273,0.01343981
65.3,104.0,186.0,0.558,1.59,0.046869018,0.016827182
65.3,104.8,185.2,0.557,1.614,0.050303454,0.018009703
65.3,105.6,184.4,0.557,1.534,0.038258501,0.016520182
65.3,106.4,183.6,0.557,1.759,0.072131956,0.020255796
65.3,107.2,182.8,0.557,1.755,0.071528111,0.019075521
65.3,108.0,182.0,0.557,1.623,0.051658016,0.015299479
65.3,108.8,181.2,0.557,1.595,0.047443489,0.01484375
65.3,109.6,180.4,0.557,1.68,0.06023691,0.016029095
65.3,110.4,179.6,0.557,1.703,0.063698569,0.024697581
65.3,111.2,178.8,0.557,1.567,0.043227429,0.017039332
65.3,112.0,178.0,0.557,1.745,0.070019859,0.018107096
65.3,112.8,177.2,0.557,1.483,0.030579249,0.024544271
65.3,113.6,176.4,0.557,1.773,0.074178933,0.020364424
65.3,114.4,175.6,0.557,1.656,0.056624744,0.019199429
65.3,115.2,174.8,0.558,1.666,0.05830821,0.020010551
65.3,116.0,174.0,0.558,1.816,0.080591569,0.027679443
65.3,116.8,173.2,0.558,1.675,0.059662772,0.025227865
65.3,117.6,172.4,0.559,1.849,0.085553206,0.019783266
65.3,118.4,171.6,0.559,1.863,0.087584605,0.023209635
65.3,119.2,170.8,0.56,1.497,0.03322247,0.017510776
65.3,120.0,170.0,0.56,1.633,0.053698276,0.014560823
65.3,120.8,169.2,0.561,1.67,0.059445084,0.018824084
65.3,121.6,168.4,0.562,1.515,0.036288899,0.019763085
65.3,122.4,167.6,0.562,1.558,0.042763562,0.019489472
65.3,123.2,166.8,0.563,1.614,0.051372802,0.018963458
65.3,124.0,166.0,0.564,1.708,0.065698504,0.017038446
65.3,124.8,165.2,0.565,1.628,0.053836003,0.017287796
65.3,125.6,164.4,0.565,1.68,0.061662363,0.011493389
65.3,126.4,163.6,0.566,1.468,0.029924151,0.015830592
65.3,127.2,162.8,0.567,1.52,0.037932029,0.020416969
65.3,128.0,162.0,0.568,1.332,0.009795455,0.023608398
65.3,128.8,161.2,0.569,1.511,0.036932972,0.021262905
65.3,129.6,160.4,0.571,1.712,0.067546899,0.019042692
65.3,130.4,159.6,0.572,1.548,0.043038351,0.021877382
65.3,131.2,158.8,0.573,1.834,0.085798602,0.023718002
65.3,132.0,158.0,0.574,1.698,0.065973959,0.019871911
65.3,132.8,157.2,0.575,1.501,0.03649555,0.022715693
65.3,133.6,156.4,0.577,1.633,0.056725167,0.023060192
65.3,134.4,155.6,0.578,1.534,0.041998636,0.014759411
65.3,135.2,154.8,0.58,1.384,0.019826914,0.015063996
65.3,136.0,154.0,0.581,1.426,0.026318309,0.018056017
65.3,136.8,153.2,0.583,1.75,0.075362581,0.024360795
65.3,137.6,152.4,0.584,1.637,0.058573562,0.020610571
65.3,138.4,151.6,0.586,1.558,0.047036821,0.016033988
65.3,139.2,150.8,0.587,1.651,0.061214816,0.021259383
65.3,140.0,150.0,0.589,1.694,0.0680182,0.02053864
65.3,140.8,149.2,0.591,1.609,0.055605735,0.019726563
65.3,141.6,148.4,0.592,1.52,0.042408022,0.01570012
65.3,142.4,147.6,0.594,1.651,0.062447943,0.020399306
65.3,143.2,146.8,0.596,1.675,0.066400522,0.014935662
65.3,144.0,146.0,0.598,1.656,0.063902389,0.018460787
65.3,144.8,145.2,0.6,1.436,0.031243072,0.020871954
65.3,145.6,144.4,0.602,1.478,0.03790121,0.020762226
65.3,146.4,143.6,0.604,1.581,0.053712132,0.020255667
65.3,147.2,142.8,0.606,1.633,0.061868613,0.019757821
65.3,148.0,142.0,0.608,1.562,0.051570619,0.015627195
65.3,148.8,141.2,0.61,1.342,0.01891381,0.015411377
65.3,149.6,140.4,0.612,1.548,0.050179403,0.014923096
65.3,150.4,139.6,0.614,1.478,0.040039936,0.020294189
65.3,151.2,138.8,0.616,1.595,0.057941807,0.019966947
65.3,152.0,138.0,0.618,1.44,0.035076941,0.024969952
65.3,152.8,137.2,0.62,1.543,0.050848335,0.031889817
65.3,153.6,136.4,0.622,1.576,0.056155102,0.023973809
65.3,154.4,135.6,0.624,1.511,0.046769775,0.018418903
65.3,155.2,134.8,0.626,1.497,0.045035829,0.026243916
65.3,156.0,134.0,0.629,1.633,0.065948899,0.02299205
65.3,156.8,133.2,0.631,1.684,0.073932968,0.022935417
65.3,157.6,132.4,0.633,1.497,0.046293027,0.026047279
65.3,158.4,131.6,0.635,1.492,0.045904674,0.017306858
65.3,159.2,130.8,0.638,1.511,0.049284171,0.016121848
65.3,160.0,130.0,0.64,1.6,0.062949794,0.018118722
65.3,160.8,129.2,0.642,1.609,0.064646139,0.016378838
65.3,161.6,128.4,0.644,1.323,0.022260412,0.020791903
65.3,162.4,127.6,0.647,1.661,0.073299227,0.022857344
65.3,163.2,126.8,0.649,1.464,0.044228212,0.028282791
65.3,164.0,126.0,0.651,1.651,0.072504044,0.015335787
65.3,164.8,125.2,0.653,1.398,0.035106327,0.013386995
65.3,165.6,124.4,0.656,1.717,0.083251069,0.015988817
65.3,166.4,123.6,0.658,1.534,0.056302496,0.015824298
65.3,167.2,122.8,0.66,1.422,0.039931405,0.015414369
65.3,168.0,122.0,0.662,1.553,0.059840471,0.016747008
65.3,168.8,121.2,0.665,1.379,0.034428051,0.023986816
65.3,169.6,120.4,0.667,1.412,0.039696954,0.022715693
65.3,170.4,119.6,0.669,1.548,0.06033402,0.016028747
65.3,171.2,118.8,0.671,1.417,0.041157371,0.020668264
65.3,172.0,118.0,0.674,1.501,0.054217221,0.01465337
65.3,172.8,117.2,0.676,1.253,0.017611847,0.016446372
65.3,173.6,116.4,0.678,1.497,0.054329003,0.018726749
65.3,174.4,115.6,0.68,1.609,0.071368287,0.017530488
65.3,175.2,114.8,0.682,1.393,0.039554944,0.019068668
65.3,176.0,114.0,0.684,1.468,0.051077189,0.020535714
65.3,176.8,113.2,0.686,1.525,0.059925363,0.016716452
65.3,177.6,112.4,0.688,1.36,0.035715748,0.024871826
65.3,178.4,111.6,0.69,1.389,0.040388402,0.017773438
65.3,179.2,110.8,0.692,1.468,0.052505885,0.0144402
65.3,180.0,110.0,0.694,1.215,0.015198442,0.017205727
65.3,180.8,109.2,0.696,1.295,0.027507102,0.017103171
65.3,181.6,108.4,0.698,1.436,0.048811151,0.018890672
65.3,182.4,107.6,0.7,1.332,0.033712285,0.014320483
65.3,183.2,106.8,0.702,1.431,0.048781451,0.016506288
65.3,184.0,106.0,0.704,1.332,0.034438154,0.015476393
65.3,184.8,105.2,0.706,1.431,0.0494958,0.016512784
65.3,185.6,104.4,0.708,1.398,0.044942255,0.015125868
65.3,186.4,103.6,0.709,1.398,0.045120842,0.018766984
65.3,187.2,102.8,0.711,1.543,0.067035096,0.015521672
65.3,188.0,102.0,0.713,1.088,0.001,0.017259247
65.3,188.8,101.2,0.714,1.407,0.047359545,0.01355132
65.3,189.6,100.4,0.716,1.145,0.008720792,0.01869343
65.3,190.4,99.6,0.717,1.375,0.043165081,0.021392346
65.3,191.2,98.8,0.719,1.187,0.015547869,0.020800781
65.3,192.0,98.0,0.72,1.407,0.048448349,0.02271412
65.3,192.8,97.2,0.722,1.304,0.033557003,0.022874099
65.3,193.6,96.4,0.723,1.29,0.031664689,0.021263861
65.3,194.4,95.6,0.725,1.468,0.058370797,0.017868042
65.3,195.2,94.8,0.726,1.07,0.001,0.01208866
65.3,196.0,94.0,0.727,1.145,0.010716433,0.013241108
65.3,196.8,93.2,0.728,1.239,0.024955403,0.013918901
65.3,197.6,92.4,0.729,1.079,0.001043067,0.011384592
65.3,198.4,91.6,0.731,1.234,0.024750285,0.011363923
65.3,199.2,90.8,0.732,1.243,0.026277512,0.010379914
65.3,200.0,90.0,0.733,1.243,0.026458451,0.010498047
65.3,200.8,89.2,0.734,1.276,0.031575779,0.011414575
65.3,201.6,88.4,0.735,1.248,0.027568268,0.013687626
65.3,202.4,87.6,0.735,1.135,0.0107128,0.016927083
65.3,203.2,86.8,0.736,1.361,0.044531262,0.016517376
65.3,204.0,86.0,0.737,1.126,0.009746495,0.009225028
65.3,204.8,85.2,0.738,1.192,0.019734186,0.00978184
65.3,205.6,84.4,0.738,0.966,0.001,0.012750639
65.3,206.4,83.6,0.739,1.314,0.038113872,0.015727796
65.3,207.2,82.8,0.74,1.299,0.036073468,0.012752296
65.3,208.0,82.0,0.74,1.093,0.005320551,0.016048791
65.3,208.8,81.2,0.741,1.346,0.043214617,0.022705078
65.3,209.6,80.4,0.741,1.384,0.048823098,0.013632813
65.3,210.4,79.6,0.742,1.055,0.001444717,0.017504422
65.3,211.2,78.8,0.742,1.163,0.016167827,0.015256486
65.3,212.0,78.0,0.742,1.163,0.016167827,0.013502855
65.3,212.8,77.2,0.743,1.295,0.036023928,0.01202003
65.3,213.6,76.4,0.743,1.314,0.03883763,0.011298107
65.3,214.4,75.6,0.743,1.032,0.001,0.017549347
65.3,215.2,74.8,0.743,1.051,0.001,0.013010523
65.3,216.0,74.0,0.743,1.22,0.024827334,0.009570313
65.3,216.8,73.2,0.743,1.22,0.024827334,0.018809443
65.3,217.6,72.4,0.743,1.037,0.001,0.017001065
65.3,218.4,71.6,0.743,1.295,0.036023928,0.020594618
65.3,219.2,70.8,0.743,1.088,0.005121447,0.012451172
65.3,220.0,70.0,0.743,1.243,0.028267847,0.010933254
65.3,220.8,69.2,0.743,1.328,0.040910884,0.013574407
65.3,221.6,68.4,0.743,1.239,0.027669497,0.014945365
65.3,222.4,67.6,0.743,1.027,0.001,0.013025571
65.3,223.2,66.8,0.742,1.135,0.012009194,0.013295419
65.3,224.0,66.0,0.742,1.131,0.011415104,0.010099712
65.3,224.8,65.2,0.742,1.088,0.004940201,0.00906033
65.3,225.6,64.4,0.741,1.102,0.00686856,0.012207031
65.3,226.4,63.6,0.741,1.009,0.001,0.010172526
65.3,227.2,62.8,0.74,1.168,0.016540042,0.01515067
65.3,228.0,62.0,0.74,1.055,0.001,0.015337776
65.3,228.8,61.2,0.74,0.994,0.001,0.011021205
65.3,229.6,60.4,0.739,0.976,0.001,0.0107745
65.3,230.4,59.6,0.738,0.976,0.001,0.01306399
65.3,231.2,58.8,0.738,1.065,0.000743648,0.008640676
65.3,232.0,58.0,0.737,0.971,0.001,0.010430754
65.3,232.8,57.2,0.737,1.173,0.016727057,0.0108858
65.3,233.6,56.4,0.736,1.023,0.001,0.012073864
65.3,234.4,55.6,0.735,1.055,0.001,0.008996212
65.3,235.2,54.8,0.735,0.924,0.001,0.007131866
65.3,236.0,54.0,0.734,0.868,0.001,0.005273438
65.3,236.8,53.2,0.733,0.887,0.001,0.004451976
65.3,237.6,52.4,0.733,0.966,0.001,0.006433824
65.3,238.4,51.6,0.732,1.131,0.009563112,0.009636374
